=== 调试日志 - 2026-05-29 09:59:05 ===
[2026-05-29 10:03:14] === 广告系列详情（共765个）===
[2026-05-29 10:03:14]   [91] Reolink_US_8395_13279_20260522150821582 | ASIN=B082KGF6FX | 国家=US | 状态=ENABLED | 花费=$0.96
[2026-05-29 10:03:14]   [92] Reolink_US_9261_14499_20260525212508944 | ASIN=B07W4WBKKJ | 国家=US | 状态=ENABLED | 花费=$0.94
[2026-05-29 10:03:14]   [93] Reolink_US_8392_13290_20260522150725873 | ASIN=B07K734ZTW | 国家=US | 状态=ENABLED | 花费=$0.90
[2026-05-29 10:03:14]   [94] Reolink_US_8396_13296_20260522150833273 | ASIN=B0B2NPGZXX | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [95] Reolink_US_8397_13286_20260522150846117 | ASIN=B0CDPX63YH | 国家=US | 状态=ENABLED | 花费=$0.83
[2026-05-29 10:03:14]   [96] Reolink_US_9262_14509_20260525212546076 | ASIN=B0B8HLSQ6F | 国家=US | 状态=ENABLED | 花费=$1.87
[2026-05-29 10:03:14]   [97] Ogery_US_6664_11028_20260506142424444 | ASIN=B0GF2H3YXH | 国家=US | 状态=PAUSED | 花费=$16.63
[2026-05-29 10:03:14]   [98] Ogery_US_7716_12448_20260517132225863 | ASIN=B0GF2H3YXH | 国家=US | 状态=PAUSED | 花费=$3.21
[2026-05-29 10:03:14]   [99] Ogery_US_7718_12446_20260517132544963 | ASIN=B0F3D214Z7 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [100] Ogery_US_7734_12441_20260517133826885 | ASIN=B0FGH731JP | 国家=US | 状态=ENABLED | 花费=$0.33
[2026-05-29 10:03:14]   [101] Ogery_US_7739_12420_20260517134106547 | ASIN=B0FGH731JP | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [102] Ogery_US_7740_12449_20260517141818569 | ASIN=B0F3D214Z7 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [103] Ogery_US_7740_12449_20260517141805660 | ASIN=B0F3D214Z7 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [104] Ogery_US_7713_12423_20260517132212296 | ASIN=B0FQ57Y9G3 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [105] Ogery_US_7715_12422_20260517132206221 | ASIN=B0FGH731JP | 国家=US | 状态=ENABLED | 花费=$1.43
[2026-05-29 10:03:14]   [106] Ogery_US_7712_12429_20260517132208868 | ASIN=B0FQ57Y9G3 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [107] Ogery_US_7714_12437_20260517132219787 | ASIN=B0FGH731JP | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [108] Ogery_US_7719_12447_20260517132548409 | ASIN=B0F3D214Z7 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [109] Ogery_US_7720_12432_20260517132538060 | ASIN=B0FQ57Y9G3 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [110] Ogery_US_7723_12425_20260517132909022 | ASIN=B0FQ57Y9G3 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [111] Ogery_US_7722_12451_20260517132912367 | ASIN=B0F3D214Z7 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [112] Ogery_US_7725_12421_20260517133116785 | ASIN=B0F3D214Z7 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [113] Ogery_US_7728_12430_20260517133452828 | ASIN=B0FXX7VX7N | 国家=US | 状态=ENABLED | 花费=$1.89
[2026-05-29 10:03:14]   [114] Ogery_US_7727_12438_20260517133213496 | ASIN=B0FGH731JP | 国家=US | 状态=ENABLED | 花费=$3.73
[2026-05-29 10:03:14]   [115] Ogery_US_7731_12427_20260517133339338 | ASIN=B0FGH731JP | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [116] Ogery_US_7732_12445_20260517133532434 | ASIN=B0F3D214Z7 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [117] Ogery_US_7735_12434_20260517133643161 | ASIN=B0FXX7VX7N | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [118] Ogery_US_7733_12435_20260517133613556 | ASIN=B0FXX7VX7N | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [119] Ogery_US_7737_12452_20260517133924543 | ASIN=B0FXX7VX7N | 国家=US | 状态=PAUSED | 花费=$0.15
[2026-05-29 10:03:14]   [120] Ogery_US_7736_12454_20260517133919310 | ASIN=B0GF2H3YXH | 国家=US | 状态=PAUSED | 花费=$2.58
[2026-05-29 10:03:14]   [121] Ogery_US_7738_12455_20260517133958900 | ASIN=B0FGH731JP | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [122] Ogery_US_7717_12436_20260517132541558 | ASIN=B0F3D214Z7 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [123] Ogery_US_7711_12439_20260517132107440 | ASIN=B0FXX7VX7N | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [124] Ogery_US_7721_12426_20260517132914673 | ASIN=B0GF2H3YXH | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [125] Ogery_US_7726_12431_20260517133216111 | ASIN=B0FXX7VX7N | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [126] Ogery_US_7724_12433_20260517133114419 | ASIN=B0FGH731JP | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [127] Ogery_US_7730_12424_20260517133437966 | ASIN=B0F3D214Z7 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [128] Ogery_US_7729_12428_20260517133440817 | ASIN=B0FQ57Y9G3 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [129] Ogery_US_9005_14090_20260524142623973 | ASIN=B0GCFKKY2Q | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [130] Ogery_US_9007_14101_20260524142619713 | ASIN=B0GVMKWFP8 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [131] Ogery_US_9008_14087_20260524142626778 | ASIN=B0GCFKKY2Q | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [132] Ogery_US_9073_14461_20260525130459499 | ASIN=B0FGH4MKSY | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [133] Ogery_US_9085_14417_20260525130528776 | ASIN=B0F3D214Z7 | 国家=US | 状态=ENABLED | 花费=$0.38
[2026-05-29 10:03:14]   [134] Ogery_US_9233_14482_20260525170232935 | ASIN=B0GCF8HWWM | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [135] Ogery_US_9232_14483_20260525170230568 | ASIN=B0FGH4MKSY | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [136] Ogery_US_9236_14490_20260525170256093 | ASIN=B0G3WCXXSM | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [137] Ogery_US_9006_14092_20260524142621611 | ASIN=B0GVM5YF3C | 国家=US | 状态=PAUSED | 花费=$0.88
[2026-05-29 10:03:14]   [138] Ogery_US_9004_14086_20260524143051535 | ASIN=B0GVM5YF3C | 国家=US | 状态=PAUSED | 花费=$0.32
[2026-05-29 10:03:14]   [139] Ogery_US_9074_14419_20260525130457882 | ASIN=B0GCFKKY2Q | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [140] Ogery_US_9235_14484_20260525170238628 | ASIN=B0FGH731JP | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [141] Ogery_US_9075_14426_20260525130504351 | ASIN=B0GVMKWFP8 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [142] Ogery_US_9231_14485_20260525170229239 | ASIN=B0G69X3KVQ | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [143] Ogery_US_9234_14491_20260525170236320 | ASIN=B0GVMKWFP8 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [144] Maono_GB_7859_12573_20260518160613764 | ASIN=None | 国家=UK | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [145] Merach_US_8832_13906_20260524144122665 | ASIN=B0DP9PNSR4 | 国家=US | 状态=ENABLED | 花费=$0.71
[2026-05-29 10:03:14]   [146] Merach_US_8834_13911_20260524144204719 | ASIN=B0DP9PNSR4 | 国家=US | 状态=ENABLED | 花费=$4.27
[2026-05-29 10:03:14]   [147] Merach_US_8833_13908_20260524144148569 | ASIN=B0CRZ52738 | 国家=US | 状态=ENABLED | 花费=$5.75
[2026-05-29 10:03:14]   [148] Merach_US_8835_13914_20260524144219219 | ASIN=B0DKP4TM6H | 国家=US | 状态=ENABLED | 花费=$0.65
[2026-05-29 10:03:14]   [149] Merach_US_8836_13913_20260524144240329 | ASIN=B0CR7JDT9G | 国家=US | 状态=ENABLED | 花费=$2.96
[2026-05-29 10:03:14]   [150] Merach_US_8837_13915_20260524144252619 | ASIN=B0F7RGLXWN | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [151] Ogery_US_8724_13675_20260523202402595 | ASIN=B0GCFKKY2Q | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [152] Ogery_US_8740_13742_20260523202406696 | ASIN=B0GCF8HWWM | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [153] Ogery_US_8712_13639_20260523202356310 | ASIN=B0G69X3KVQ | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [154] Ogery_US_8716_13670_20260523202358418 | ASIN=B0G3WCXXSM | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [155] Ogery_US_8728_13733_20260523202404649 | ASIN=B0FXX7WMM6 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [156] Ogery_US_8721_13689_20260523202400470 | ASIN=B0G6Z9P22W | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [157] Ogery_US_8709_13645_20260523202354341 | ASIN=B0GVMKWFP8 | 国家=US | 状态=PAUSED | 花费=$0.01
